match_id,date,stage,group,team_1,team_2,score_1,score_2,winner,decided_by_penalties,notes
1,2026-06-11,Group Stage,A,Mexico,South Africa,2,0,Mexico,No,Tournament opening match at Estadio Azteca
2,2026-06-11,Group Stage,A,South Korea,Czechia,2,1,South Korea,No,
3,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,1,1,Draw,No,
4,2026-06-12,Group Stage,D,United States,Paraguay,4,1,United States,No,
5,2026-06-13,Group Stage,B,Switzerland,Qatar,1,1,Draw,No,
6,2026-06-13,Group Stage,C,Brazil,Morocco,1,1,Draw,No,
7,2026-06-13,Group Stage,C,Scotland,Haiti,1,0,Scotland,No,
8,2026-06-13,Group Stage,D,Australia,Turkiye,2,0,Australia,No,
9,2026-06-14,Group Stage,E,Germany,Curacao,7,1,Germany,No,
10,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,1,0,Ivory Coast,No,
11,2026-06-14,Group Stage,F,Netherlands,Japan,2,2,Draw,No,
12,2026-06-14,Group Stage,F,Sweden,Tunisia,5,1,Sweden,No,
13,2026-06-15,Group Stage,G,Belgium,Egypt,1,1,Draw,No,
14,2026-06-15,Group Stage,G,Iran,New Zealand,2,2,Draw,No,
15,2026-06-15,Group Stage,H,Spain,Cape Verde,0,0,Draw,No,
16,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,1,1,Draw,No,
17,2026-06-16,Group Stage,I,France,Senegal,3,1,France,No,
18,2026-06-16,Group Stage,I,Norway,Iraq,4,1,Norway,No,
19,2026-06-16,Group Stage,J,Argentina,Algeria,3,0,Argentina,No,
20,2026-06-16,Group Stage,J,Austria,Jordan,3,1,Austria,No,
21,2026-06-17,Group Stage,K,Portugal,DR Congo,1,1,Draw,No,
22,2026-06-17,Group Stage,K,Colombia,Uzbekistan,3,1,Colombia,No,
23,2026-06-17,Group Stage,L,England,Croatia,4,2,England,No,
24,2026-06-17,Group Stage,L,Ghana,Panama,1,0,Ghana,No,
25,2026-06-18,Group Stage,A,Czechia,South Africa,1,1,Draw,No,
26,2026-06-18,Group Stage,A,Mexico,South Korea,1,0,Mexico,No,
27,2026-06-18,Group Stage,B,Switzerland,Bosnia and Herzegovina,4,1,Switzerland,No,
28,2026-06-18,Group Stage,B,Canada,Qatar,6,0,Canada,No,
29,2026-06-19,Group Stage,C,Morocco,Scotland,1,0,Morocco,No,
30,2026-06-19,Group Stage,C,Brazil,Haiti,3,0,Brazil,No,
31,2026-06-19,Group Stage,D,United States,Australia,2,0,United States,No,
32,2026-06-19,Group Stage,D,Paraguay,Turkiye,1,0,Paraguay,No,
33,2026-06-20,Group Stage,E,Germany,Ivory Coast,2,1,Germany,No,
34,2026-06-20,Group Stage,E,Ecuador,Curacao,0,0,Draw,No,
35,2026-06-20,Group Stage,F,Netherlands,Sweden,5,1,Netherlands,No,
36,2026-06-20,Group Stage,F,Japan,Tunisia,4,0,Japan,No,
37,2026-06-21,Group Stage,G,Belgium,Iran,0,0,Draw,No,
38,2026-06-21,Group Stage,G,Egypt,New Zealand,3,1,Egypt,No,
39,2026-06-21,Group Stage,H,Spain,Saudi Arabia,4,0,Spain,No,
40,2026-06-21,Group Stage,H,Uruguay,Cape Verde,2,2,Draw,No,
41,2026-06-22,Group Stage,I,France,Iraq,3,0,France,No,
42,2026-06-22,Group Stage,I,Norway,Senegal,3,2,Norway,No,
43,2026-06-22,Group Stage,J,Argentina,Austria,2,0,Argentina,No,Messi broke World Cup all-time goalscoring record in this match
44,2026-06-22,Group Stage,J,Algeria,Jordan,2,1,Algeria,No,
45,2026-06-23,Group Stage,K,Portugal,Uzbekistan,5,0,Portugal,No,
46,2026-06-23,Group Stage,K,Colombia,DR Congo,1,0,Colombia,No,
47,2026-06-23,Group Stage,L,England,Ghana,0,0,Draw,No,
48,2026-06-23,Group Stage,L,Croatia,Panama,1,0,Croatia,No,
49,2026-06-24,Group Stage,A,Mexico,Czechia,3,0,Mexico,No,
50,2026-06-24,Group Stage,A,South Africa,South Korea,1,0,South Africa,No,
51,2026-06-24,Group Stage,B,Switzerland,Canada,2,1,Switzerland,No,
52,2026-06-24,Group Stage,B,Bosnia and Herzegovina,Qatar,3,1,Bosnia and Herzegovina,No,
53,2026-06-24,Group Stage,C,Brazil,Scotland,3,0,Brazil,No,
54,2026-06-24,Group Stage,C,Morocco,Haiti,4,2,Morocco,No,
55,2026-06-25,Group Stage,D,Turkiye,United States,3,2,Turkiye,No,
56,2026-06-25,Group Stage,D,Paraguay,Australia,0,0,Draw,No,
57,2026-06-25,Group Stage,E,Ecuador,Germany,2,1,Ecuador,No,
58,2026-06-25,Group Stage,E,Ivory Coast,Curacao,2,0,Ivory Coast,No,
